STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TMAX,TMIN,Bin
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-01-01,0.46,44,36,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-01-02,1.36,45,36,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-01-03,0.35,44,37,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-01-04,0.44,42,34,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-01-05,0.34,45,35,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-01-06,1.94,45,36,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-01-07,0.85,45,35,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-01-08,0.32,44,35,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-01-09,0.12,40,30,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-01-10,1.53,45,36,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-01-11,1.32,43,33,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-01-12,1.37,37,31,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-01-13,0.38,39,32,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-01-14,0.21,39,30,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-01-15,0.88,39,27,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-01-16,0.49,51,36,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-01-17,0.98,46,36,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-01-18,2.35,46,35,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-01-19,0.97,46,31,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-01-20,0,36,28,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-01-21,0,33,26,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-01-22,0,33,27,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-01-23,0,34,24,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-01-24,0,33,24,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-01-25,0,33,22,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-01-26,0,33,29,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-01-27,0,35,27,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-01-28,0,33,20,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-01-29,0.53,37,29,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-01-30,0.18,44,29,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-01-31,0,45,33,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-02-01,0,46,31,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-02-02,0,44,35,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-02-03,0.21,41,29,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-02-04,0.12,42,31,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-02-05,1.62,42,31,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-02-06,0.68,42,32,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-02-07,0.43,42,29,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-02-08,0,42,28,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-02-09,0,38,26,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-02-10,0.89,43,29,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-02-11,0,40,29,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-02-12,0,38,27,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-02-13,1.8,41,28,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-02-14,0.16,40,27,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-02-15,0.43,35,26,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-02-16,0.13,39,28,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-02-17,0.11,37,22,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-02-18,0.36,41,29,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-02-19,0,43,30,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-02-20,0,44,23,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-02-21,0,45,26,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-02-22,0,48,25,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-02-23,0,45,27,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-02-24,0,46,28,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-02-25,0.21,43,32,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-02-26,0.77,43,35,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-02-27,0.17,45,35,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-02-28,0,49,29,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-03-01,0.04,50,27,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-03-02,0.65,44,31,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-03-03,2.42,48,37,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-03-04,0.88,42,35,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-03-05,0.84,46,35,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-03-06,0.09,48,38,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-03-07,1.45,43,35,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-03-08,1.91,46,36,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-03-09,0.17,47,38,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-03-10,0.35,47,35,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-03-11,1.24,45,37,3
USW00025325,"KETCHIKAN AIRPORT, AK US",55.35,-131.65,24.4,1915-03-12,0.3,47,36,3
